1/1/2014,0,
1/8/2014,5,
1/15/2014,1,
1/22/2014,1,
1/29/2014,2,
2/5/2014,4,
2/12/2014,17,
2/19/2014,8,
2/26/2014,8,
3/5/2014,2,
3/12/2014,4,
3/19/2014,7,
3/26/2014,2,
4/2/2014,4,
4/9/2014,3,
4/16/2014,6,
4/23/2014,9,
4/30/2014,3,
5/7/2014,4,
5/14/2014,9,
5/21/2014,4,1
5/28/2014,0,
6/4/2014,10,
6/11/2014,0,
6/18/2014,4,
6/25/2014,0,
7/2/2014,8,
7/9/2014,0,
7/16/2014,9,1
7/23/2014,6,
7/30/2014,5,
8/6/2014,2,
8/13/2014,9,
8/20/2014,11,
8/27/2014,4,1
9/3/2014,0,
9/10/2014,4,1
9/17/2014,0,
9/24/2014,9,1
10/1/2014,0,
10/8/2014,7,1
10/15/2014,2,
10/22/2014,6,
10/29/2014,6,
11/5/2014,3,
11/12/2014,4,
11/19/2014,5,
11/26/2014,3,
12/3/2014,1,
12/10/2014,9,
12/17/2014,4,
12/24/2014,4,
